,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,-,R
C,0.06345081657155074,0.001332171109978126,0.07642714997615249,0.01985099419436541,0.014193378616186702,0.007088466029636696,8.223278456655099e-05,0.02142986365804319,0.0011677055408450241,0.03549166981892341,0.03488314721313093,0.024143545548739372,0.19002351857638602,0.5104353403614953
C#,0.040348101265822785,0.06487341772151899,0.015031645569620253,0.07911392405063292,0.014240506329113924,0.01661392405063291,0.0031645569620253164,0.0,0.0189873417721519,0.0007911392405063291,0.04430379746835443,0.029272151898734177,0.16218354430379747,0.5110759493670886
D,0.13597871976962686,0.0003172511408839105,0.04541572101422749,0.028577006613466092,0.08773214242135832,0.00690631329770359,0.0005124826121970862,0.013617395124094003,0.0001220196695707348,0.0077604509846987335,0.0070527369011884715,0.007394391975986529,0.156258388852283,0.5023549796227151
D#,0.07264296754250386,0.007994457176357725,0.07280285668603102,0.042850290465277406,0.001598891435271545,0.11112295475137238,0.0003730746682300272,0.022970740286734532,0.0020252624846772904,0.0,0.00991312689868358,5.3296381175718166e-05,0.1331876565581197,0.5224644246655652
E,0.0239495923791322,0.0003882103502851853,0.13237972944724818,0.0008062830352076925,0.04479350195598292,0.03293815510496611,0.0031056828022814824,0.07531280795532595,0.00041807268492250724,0.017051393077910832,2.9862334637321945e-05,0.004568937199510258,0.15241735598889122,0.5118404156836982
F,0.010903091600315615,0.0005738469263324008,0.01341367190301987,0.07678789182985439,0.04741410228821462,0.05222007029624848,0.0010042321210817014,0.10067427013844057,0.0036941395882648304,0.004913564306721182,0.008392511297611363,0.00010759629868732516,0.13711354996054803,0.5427874614446596
F#,0.0,0.003524229074889868,0.028193832599118944,0.0052863436123348016,0.09691629955947137,0.04229074889867841,0.027312775330396475,0.08105726872246696,0.03612334801762115,0.014096916299559472,0.000881057268722467,0.0026431718061674008,0.10220264317180616,0.5594713656387665
G,0.028845264306992063,0.0,0.015671545136640333,0.009713767646677892,0.04682961126426999,0.05506318574573982,0.001961255943900679,0.058153088978111646,0.007900531019298019,0.05733898273724721,0.026254926267877957,0.004015023960626861,0.17186892889522082,0.5163838880973967
G#,0.007088731361525299,0.007577609386458079,0.0002444390124663896,0.009533121486189195,0.0029332681495966755,0.03324370569542899,0.0068442923490589095,0.1131752627719384,0.06086531410413102,0.0048887802493277925,0.052798826692740164,0.005133219261794182,0.11464189684673674,0.5810315326326082
A,0.08640622638658002,0.0001133444158984434,0.016208251473477406,7.55629439322956e-05,0.02814719661478011,0.005931691098685205,0.0010200997430859905,0.11496901919298776,0.000566722079492217,0.04922925797189059,0.003400332476953302,0.03589239836784041,0.13763790237267645,0.5204019948617198
A#,0.14090192368338064,0.00391043834752444,0.00857773573005361,0.014001892147587512,6.30715862503942e-05,0.022579627877641124,0.0,0.0967518133081047,0.017596972563859982,0.00510879848628193,0.04749290444654683,0.0003784295175023652,0.11207820876695049,0.530558183538316
B,0.14969470159543039,0.0025605672641323615,0.022158755170376205,9.848335631278314e-05,0.009355918849714399,0.00019696671262556627,0.0011818002757533978,0.034370691353161315,0.0019696671262556626,0.11138467598975774,0.00029545006893834944,0.03968879259405161,0.1069529249556825,0.5200906046878078
-,0.03227063316720615,0.00043672609566870475,0.01621452670879789,0.009077052184486805,0.01724639915052493,0.011530425251331586,0.0003596567846683451,0.031200226069978933,0.0016398636729520971,0.012438130469780267,0.007081813355255271,0.003061364298069842,0.7614362294267756,0.09600695336450359
R,0.19158387439432412,0.003902455650040047,0.12966150315547906,0.059082156064143417,0.10587754128252756,0.09165374368762177,0.0038513317768954177,0.173355373403089,0.013763682736604126,0.08368978033775838,0.05017524127627909,0.033366847872394814,0.05997966405934914,5.680430349403271e-05
