,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,-,R
C,0.04253900693100544,0.13168614755205274,0.12776332996000989,0.007419457725564451,0.1139261195837429,0.023851824099117007,0.10721308004532341,0.09758189202159281,0.07362210583356919,0.039421496023954006,0.00516441398508988,0.03341401957775335,0.11973084838734425,0.07666625827388074
C#,0.09824081805802223,0.036211652306491336,0.03192076989200776,0.11320812390459803,0.10071159945535123,0.05932488068996365,0.033686029190581175,0.13869462130534865,0.017544226788395588,0.0585753232484705,0.1533274831743146,0.04167348310748539,0.0743884938002392,0.04249249507873064
D,0.1475977109181284,0.14521873592967194,0.0645437297876315,0.15360464816340264,0.0006695335305479784,0.005373540973590936,0.09713883646600452,0.017222645234909878,0.07873559344878427,0.14339299708501677,0.10455245828097565,0.017117848838413895,0.014856441857664425,0.009975279485256984
D#,0.06017811415973737,0.10946318661963479,0.04887714841133273,0.10338816640992536,0.04224484867110677,0.1058807706852516,0.08875793622379263,0.06161821991871191,0.1095258712742925,0.03869926155035446,0.06703389446623023,0.050635662113629305,0.020475205718103903,0.09322171377789633
E,0.05025366084569775,0.071664836697904,0.04421298540541939,0.08054944240256047,0.04856833890772536,0.14185274082439553,0.09902606085578718,0.0037490560361254427,0.0716951165069767,0.12278227480063032,0.024192641899612108,0.05412776893791176,0.059187245908457344,0.12813782997079645
F,0.03966845195379015,0.04894028862073236,0.029484604494624183,0.018054820568845012,0.13545849265161447,0.07492961031672701,0.16343632783578485,0.09912362268386564,0.04917893570077497,0.041255165706134175,0.026760654334450355,0.0577622686545444,0.03952459519293744,0.1764221612851748
F#,0.07281086517773455,0.12226164683323555,0.06205991611326399,0.10610707770327996,0.03813559962763453,0.03759584485056053,0.05264860767879487,0.10773746460827915,0.06302028091107602,0.048085990100874255,0.01804847643867781,0.09907275008449855,0.10540165698351929,0.06701382288857106
G,0.05698344153185294,0.07552598301284895,0.03739871020608358,0.09608993015231185,0.08947509356680891,0.1222181770096349,0.07160571388913071,0.13219798210625736,0.009711402988055963,0.033812467515538895,0.14293087124529802,0.006385716112167799,0.08383129212432235,0.04183321853968783
G#,0.09151744125017708,0.06508152061651298,0.12563961260182996,0.10012151002323139,0.12414892263087696,0.029495882105568375,0.0697206831930206,0.13187830441967913,0.0382086238578815,0.11271098083800637,0.007966837921949754,0.020871616195563183,0.028016063200432623,0.0546220011452702
A,0.018680894811256777,0.10398045903207942,0.01937174345468051,0.15772080663392812,0.16072307912839068,0.08580254674723908,0.04967899828232012,0.09988300190482062,0.10152802459227098,0.01549184787065221,0.02668442589953089,0.0818012210630509,0.07412969884543184,0.004523251734347871
A#,0.1231276799928174,0.008669328333522236,0.12194966856954434,0.04317758912470435,0.0170563023149359,0.015589604451848642,0.03601392013872884,0.05827550567993278,0.09639685747641116,0.019445431904309786,0.10392785997888983,0.14421157808320123,0.09656640995044292,0.1155922640007105
B,0.01682710523407845,0.02935390136815233,0.10193401282089812,0.10711189624965493,0.10928054741651812,0.0566747319192889,0.0783296129727065,0.028502397217618762,0.10502830324692079,0.08475873128271788,0.0633824902987048,0.06314189793585749,0.0681295335437793,0.08754483849310365
-,0.0029587069986390774,0.08281100951726068,0.03393415886333527,0.08978490562089213,0.10073203768377076,0.03524964737949186,0.04777369851873603,0.06320283431748075,0.09770305244854395,0.12321882337198803,0.10723295312863192,0.03675183856094444,0.15056479947056597,0.028081534119719063
R,0.06255231887107233,0.10171761603536933,0.09613243396759705,0.021779161360473927,0.1212218829728324,0.0513683538850008,0.05476897396046703,0.08592700435080053,0.04038411857593586,0.0792632385725485,0.07335671158788346,0.06986002658717698,0.07527104130746971,0.06639711796537198
